Kategorie,AlterVSort,Anzahl,Herkunft,Geschlecht
1900,22,1864,Schweiz,Weiblich
1900,22,630,Ausland,Weiblich
1900,22,1752,Schweiz,Männlich
1900,22,785,Ausland,Männlich
1950,22,328,Schweiz,Weiblich
1950,22,252,Ausland,Weiblich
1950,22,223,Schweiz,Männlich
1950,22,278,Ausland,Männlich
2017,22,479,Schweiz,Weiblich
2017,22,429,Ausland,Weiblich
2017,22,387,Schweiz,Männlich
2017,22,485,Ausland,Männlich
1900,23,2070,Schweiz,Weiblich
1900,23,794,Ausland,Weiblich
1900,23,1868,Schweiz,Männlich
1900,23,995,Ausland,Männlich
1950,23,346,Schweiz,Weiblich
1950,23,314,Ausland,Weiblich
1950,23,302,Schweiz,Männlich
1950,23,383,Ausland,Männlich
2017,23,540,Schweiz,Weiblich
2017,23,553,Ausland,Weiblich
2017,23,445,Schweiz,Männlich
2017,23,590,Ausland,Männlich
1900,24,2244,Schweiz,Weiblich
1900,24,1042,Ausland,Weiblich
1900,24,2101,Schweiz,Männlich
1900,24,1259,Ausland,Männlich
1950,24,425,Schweiz,Weiblich
1950,24,385,Ausland,Weiblich
1950,24,338,Schweiz,Männlich
1950,24,447,Ausland,Männlich
2017,24,573,Schweiz,Weiblich
2017,24,641,Ausland,Weiblich
2017,24,506,Schweiz,Männlich
2017,24,665,Ausland,Männlich
1900,25,2521,Schweiz,Weiblich
1900,25,1313,Ausland,Weiblich
1900,25,2343,Schweiz,Männlich
1900,25,1369,Ausland,Männlich
1950,25,425,Schweiz,Weiblich
1950,25,429,Ausland,Weiblich
1950,25,373,Schweiz,Männlich
1950,25,468,Ausland,Männlich
2017,25,570,Schweiz,Weiblich
2017,25,679,Ausland,Weiblich
2017,25,492,Schweiz,Männlich
2017,25,705,Ausland,Männlich
1900,26,2533,Schweiz,Weiblich
1900,26,1606,Ausland,Weiblich
1900,26,2385,Schweiz,Männlich
1900,26,1746,Ausland,Männlich
1950,26,425,Schweiz,Weiblich
1950,26,434,Ausland,Weiblich
1950,26,373,Schweiz,Männlich
1950,26,473,Ausland,Männlich
2017,26,524,Schweiz,Weiblich
2017,26,716,Ausland,Weiblich
2017,26,500,Schweiz,Männlich
2017,26,733,Ausland,Männlich
1900,27,2650,Schweiz,Weiblich
1900,27,1778,Ausland,Weiblich
1900,27,2519,Schweiz,Männlich
1900,27,1923,Ausland,Männlich
1950,27,417,Schweiz,Weiblich
